Title,Author,Date,Link
I Pitched a Roller Coaster to Disneyland at Age 10 in 1978(wordglyph.xyz),wordglyph,2026-02-24,https://wordglyph.xyz/one-piece-at-a-time
"Stripe valued at $159B, 2025 annual letter(stripe.com)",jez,2026-02-24,https://stripe.com/newsroom/news/stripe-2025-update
Software 3.1? – AI Functions(mikegchambers.com),aspittel,2026-02-24,https://blog.mikegchambers.com/posts/software-31-ai-functions/
Samsung Upcycle Promise(xda-developers.com),1970-01-01,2026-02-24,https://www.xda-developers.com/samsung-promised-make-old-phones-useful-galaxy-upcycle/
"Diode – Build, program, and simulate hardware(withdiode.com)",rossant,2026-02-24,https://www.withdiode.com/
"Goodbye InnerHTML, Hello SetHTML: Stronger XSS Protection in Firefox 148(hacks.mozilla.org)",todsacerdoti,2026-02-24,https://hacks.mozilla.org/2026/02/goodbye-innerhtml-hello-sethtml-stronger-xss-protection-in-firefox-148/
Extending C with Prolog (1994)(amzi.com),Antibabelic,2026-02-24,https://www.amzi.com/articles/irq_expert_system.htm
λProlog: Logic programming in higher-order logic(polytechnique.fr),ux266478,2026-02-24,https://www.lix.polytechnique.fr/Labo/Dale.Miller/lProlog/
We installed a single turnstile to feel secure(idiallo.com),firefoxd,2026-02-24,https://idiallo.com/blog/installed-single-turnstile-for-security-theater
IRS Tactics Against Meta Open a New Front in the Corporate Tax Fight(nytimes.com),mitchbob,2026-02-24,https://www.nytimes.com/2026/02/24/business/irs-meta-corporate-taxes.html
"Terence Tao, at 8 years old (1984) [pdf](gwern.net)",gurjeet,2026-02-24,https://gwern.net/doc/iq/high/smpy/1984-clements.pdf
A distributed queue in a single JSON file on object storage(turbopuffer.com),Sirupsen,2026-02-24,https://turbopuffer.com/blog/object-storage-queue
Tiny QR code achieved using electron microscope technology(newatlas.com),jonbaer,2026-02-24,https://newatlas.com/technology/smallest-qr-code-bacteria-tu-wien/
The Missing Semester of Your CS Education – Revised for 2026(csail.mit.edu),anishathalye,2026-02-24,https://missing.csail.mit.edu/
Discord cuts ties with Peter Thiel-backed verification software(fortune.com),robtherobber,2026-02-24,https://fortune.com/2026/02/24/discord-peter-thiel-backed-persona-identity-verification-breach/
Kansai Airport has never lost a baggage in the 30 years since it opened(yomiuri.co.jp),thunderbong,2026-02-24,https://japannews.yomiuri.co.jp/features/japan-focus/20241228-229891/
I Ported Coreboot to the ThinkPad X270(dork.dev),todsacerdoti,2026-02-24,https://dork.dev/posts/2026-02-20-ported-coreboot/
Show HN: enveil – hide your .env secrets from prAIng eyes(github.com/greatscott),parkaboy,2026-02-24,https://github.com/GreatScott/enveil
Show HN: X86CSS – An x86 CPU emulator written in CSS(lyra.horse),rebane2001,2026-02-24,https://lyra.horse/x86css/
Unsung heroes: Flickr's URLs scheme(aresluna.org),onli,2026-02-24,https://unsung.aresluna.org/unsung-heroes-flickrs-urls-scheme/
The Age Verification Trap: Verifying age undermines everyone's data protection(ieee.org),oldnetguy,2026-02-23,https://spectrum.ieee.org/age-verification
"Show HN: Steerling-8B, a language model that can explain any token it generates(guidelabs.ai)",adebayoj,2026-02-24,https://www.guidelabs.ai/post/steerling-8b-base-model-release/
Making Wolfram tech available as a foundation tool for LLM systems(stephenwolfram.com),surprisetalk,2026-02-24,https://writings.stephenwolfram.com/2026/02/making-wolfram-tech-available-as-a-foundation-tool-for-llm-systems/
"Blood test boosts Alzheimer's diagnosis accuracy to 94.5%, clinical study shows(medicalxpress.com)",wglb,2026-02-24,https://medicalxpress.com/news/2026-02-blood-boosts-alzheimer-diagnosis-accuracy.html
Firefox 148 Launches with AI Kill Switch Feature and More Enhancements(serverhost.com),shaunpud,2026-02-24,https://serverhost.com/blog/firefox-148-launches-with-exciting-ai-kill-switch-feature-and-more-enhancements/
“Car Wash” test with 53 models(opper.ai),felix089,2026-02-24,https://opper.ai/blog/car-wash-test
ATAboy is a USB adapter for legacy CHS only style IDE (PATA) drives(github.com/redrum0381),zdw,2026-02-24,https://github.com/redruM0381/ATAboy
Decimal-Java is a library to convert java.math.BigDecimal to and from IEEE-754r(github.com/firebirdsql),mariuz,2026-02-24,https://github.com/FirebirdSQL/decimal-java
Hetzner Prices increase 30-40%(hetzner.com),williausrohr,2026-02-23,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/
"UNIX99, a UNIX-like OS for the TI-99/4A (2025)(atariage.com)",marcodiego,2026-02-24,https://forums.atariage.com/topic/380883-unix99-a-unix-like-os-for-the-ti-994a/page/5/#findComment-5713334
